time,seconds_elapsed,z,y,x
1695804854098405000,18.501405029296876,-9.533898057746887,-2.286095944093913,0.22121662000082432
1695804854108404200,18.511404296875,-9.526064879903197,-2.323748213879019,0.15704039082955568
1695804854118404000,18.521404052734376,-9.519571426230668,-2.35354407107532,0.09475051426100545
1695804854128403200,18.5314033203125,-9.514149401181935,-2.37705266469568,0.03101210111826658
1695804854138402300,18.54140234375,-9.509235325655341,-2.396596300207823,-0.034067232638876885
1695804854148402200,18.551402099609376,-9.504194993400572,-2.414668840254098,-0.10020782981882803
1695804854158401000,18.561401123046874,-9.498204813075064,-2.4343526148892938,-0.16855623924136162
1695804854168401000,18.57140087890625,-9.490533547794819,-2.458005439285934,-0.2415821115561761
1695804854178400000,18.58139990234375,-9.480773201280831,-2.4864570422664283,-0.32070524130016564
1695804854188399000,18.591399169921875,-9.468811545330286,-2.5193890055313704,-0.40580212995782494
1695804854198399000,18.60139892578125,-9.454978250288963,-2.5553932158485053,-0.493699243793264
1695804854208398000,18.611398193359374,-9.440227840402722,-2.5921488290548322,-0.5772708956450223
1695804854218398200,18.621398193359376,-9.425780797377229,-2.6273613044723865,-0.6496281297169625
1695804854228397000,18.63139697265625,-9.41313057464063,-2.658050749507546,-0.7057750374179333
1695804854238396200,18.641396240234375,-9.403003148379922,-2.6825211738973853,-0.7469904795773327
1695804854248396000,18.65139599609375,-9.39539559598565,-2.700517433837056,-0.7772602378956973
1695804854258395100,18.66139501953125,-9.389901674744486,-2.712671982011199,-0.800965596197173
1695804854268395300,18.671395263671876,-9.385801838210224,-2.7207430602639913,-0.8213823612820357
1695804854278394000,18.68139404296875,-9.38209830751717,-2.727330621960759,-0.8415940322488545
1695804854288393000,18.69139306640625,-9.377610348448156,-2.735616219747066,-0.8644140590831637
1695804854298393000,18.70139306640625,-9.37150735539794,-2.748559872472286,-0.8891849277243018
1695804854308392000,18.711391845703126,-9.36389629587233,-2.7663597330570218,-0.913828662854433
1695804854318392000,18.72139208984375,-9.355531203109026,-2.7867914034500716,-0.9371331852700561
1695804854328391200,18.73139111328125,-9.346662252476811,-2.807868970531225,-0.9623717444881796
1695804854338390000,18.74139013671875,-9.337099474361539,-2.8288550599366427,-0.9932464098971336
1695804854348390100,18.75139013671875,-9.326251917132735,-2.851644399371743,-1.0293380793020128
1695804854358389200,18.76138916015625,-9.313733211821317,-2.878466939845681,-1.0673298101745545
1695804854368389000,18.77138916015625,-9.2996842282027,-2.9097537662521002,-1.1043502848621458
1695804854378388200,18.78138818359375,-9.285125541496276,-2.942900541311502,-1.1384932313520462
1695804854388387300,18.79138720703125,-9.27159619783759,-2.9740213635012505,-1.1675102131303399
